date,entry_time,direction,entry,sl,tp,exit_price,result,position_size,pnl_usd,account_balance
2025-01-01,2025-01-01 14:00:00+00:00,long,94346.3,93901.20479999999,95681.58560000003,93901.20479999999,loss,0.08986841466724207,-40.0,1960.0
2025-01-02,2025-01-02 14:00:00+00:00,short,95979.0,96536.43999999999,94306.68000000004,96536.43999999999,loss,0.07032146957520247,-39.2,1920.8
2025-01-03,2025-01-03 14:00:00+00:00,long,96579.9,96367.536,97216.992,97216.992,win,0.18089695051891913,115.24799999999999,2036.048
2025-01-05,2025-01-05 14:00:00+00:00,long,97731.3,97536.366,98316.10200000003,97536.366,loss,0.20889613920608127,-40.72096,1995.32704
2025-01-06,2025-01-06 14:00:00+00:00,short,99539.9,99667.56799999998,99156.89600000002,99156.89600000002,win,0.3125806059466973,119.7196224,2115.0466624
2025-01-07,2025-01-07 14:00:00+00:00,long,100708.5,100489.41,101365.76999999999,100489.41,loss,0.19307560020083378,-42.300933248,2072.745729152
2025-01-08,2025-01-08 14:00:00+00:00,long,95427.2,95238.26640000001,95994.00079999997,95238.26640000001,loss,0.21941525796916128,-41.45491458304,2031.29081456896
2025-01-09,2025-01-09 14:00:00+00:00,long,91791.0,91675.233,92138.30100000002,92138.30100000002,win,0.35092743434119145,121.87744887413761,2153.1682634430977
2025-01-10,2025-01-10 14:00:00+00:00,short,93702.5,93878.5848,93174.24560000001,93878.5848,loss,0.24456037811817208,-43.06336526886195,2110.1048981742356
2025-01-12,2025-01-12 14:00:00+00:00,long,94673.3,94526.5788,95113.4636,95113.4636,win,0.28763462923888794,126.60629389045414,2236.71119206469
2025-01-13,2025-01-13 14:00:00+00:00,long,90926.6,90509.4,92178.20000000004,90509.4,loss,0.1072248893607204,-44.7342238412938,2191.976968223396
2025-01-14,2025-01-14 14:00:00+00:00,short,96167.3,96488.6923,95203.12310000003,96488.6923,loss,0.13640507057720105,-43.83953936446792,2148.137428858928
2025-01-16,2025-01-16 14:00:00+00:00,long,98899.9,98765.0361,99304.49169999998,99304.49169999998,win,0.3185637414992421,128.8882457315357,2277.025674590464
2025-01-17,2025-01-17 14:00:00+00:00,short,102591.4,102744.64199999999,102131.674,102744.64199999999,loss,0.2971803649900795,-45.54051349180928,2231.4851610986548
2025-01-18,2025-01-18 14:00:00+00:00,long,104260.0,104073.3225,104820.03250000002,104073.3225,loss,0.23907382101202257,-44.629703221973095,2186.8554578766816
2025-01-20,2025-01-20 14:00:00+00:00,short,107877.3,108297.38919999999,106617.03240000004,106617.03240000004,win,0.10411386238335792,131.21132747260089,2318.0667853492823
2025-01-21,2025-01-21 14:00:00+00:00,short,104511.4,104684.47989999998,103992.16030000005,104684.47989999998,loss,0.26786088798867086,-46.36133570698565,2271.7054496422966
2025-01-22,2025-01-22 14:00:00+00:00,long,103872.0,103556.5398,104818.3806,104818.3806,win,0.14402485319176792,136.30232697853782,2408.007776620834
2025-01-23,2025-01-23 14:00:00+00:00,long,102320.2,102180.61709999999,102738.94870000002,102180.61709999999,loss,0.34502905106867493,-48.16015553241669,2359.8476210884173
2025-01-24,2025-01-24 14:00:00+00:00,short,105186.6,105305.19999999998,104830.80000000008,104830.80000000008,win,0.39795069495596636,141.59085726530503,2501.4384783537225
2025-01-25,2025-01-25 14:00:00+00:00,long,104566.0,104439.75570000001,104944.73289999997,104439.75570000001,loss,0.39628537341549624,-50.02876956707445,2451.409708786648
2025-01-26,2025-01-26 14:00:00+00:00,long,104810.1,104699.3958,105142.21260000003,104890.0,session_close,0.44287564677518726,35.385764177334885,2486.795472963983
2025-01-27,2025-01-27 14:00:00+00:00,long,100490.3,100202.0976,101354.90720000003,100202.0976,loss,0.1725728497031186,-49.735909459279654,2437.059563504703
2025-01-29,2025-01-29 14:00:00+00:00,short,101778.5,101971.87,101198.39000000001,101971.87,loss,0.25206180519261123,-48.74119127009406,2388.318372234609
2025-02-01,2025-02-01 14:00:00+00:00,long,101914.9,101668.23,102654.90999999999,101860.0,session_close,0.1936448187647161,-10.631100550181786,2377.6872716844273
2025-02-04,2025-02-04 14:00:00+00:00,long,99067.1,98867.83320000001,99664.9004,98867.83320000001,loss,0.2386435945861986,-47.55374543368855,2330.1335262507387
2025-02-06,2025-02-06 14:00:00+00:00,short,98503.8,98810.11139999998,97584.86580000007,98810.11139999998,loss,0.15214148257302304,-46.602670525014766,2283.530855725724
2025-02-08,2025-02-08 14:00:00+00:00,long,96188.7,96009.3945,96726.6165,96009.3945,loss,0.25470840054830396,-45.67061711451448,2237.8602386112093
2025-02-10,2025-02-10 14:00:00+00:00,short,98031.8,98373.275,97007.37500000003,97007.37500000003,win,0.1310702240931996,134.27161431667255,2372.131852927882
2025-02-11,2025-02-11 14:00:00+00:00,short,96710.1,96843.94719999998,96308.55840000008,96843.94719999998,loss,0.3544537133280831,-47.44263705855764,2324.6892158693245
2025-02-12,2025-02-12 14:00:00+00:00,short,95061.4,95194.99989999998,94660.60030000003,94660.60030000003,win,0.34800762812989516,139.48135295215945,2464.170568821484
2025-02-13,2025-02-13 14:00:00+00:00,long,95989.3,95786.4177,96597.9469,95786.4177,loss,0.24291626907044275,-49.283411376429676,2414.887157445054
2025-02-16,2025-02-16 14:00:00+00:00,long,96736.1,96544.359,97311.32300000003,97007.9,session_close,0.25189053540400225,68.46384752280488,2483.351004967859
2025-02-17,2025-02-17 14:00:00+00:00,long,96400.4,96253.65,96840.65,96840.65,win,0.3384464742715992,149.00106029807154,2632.3520652659304
2025-02-18,2025-02-18 14:00:00+00:00,long,96240.7,95980.4235,97021.52949999998,95980.4235,loss,0.20227351030661658,-52.64704130531861,2579.705023960612
2025-02-21,2025-02-21 14:00:00+00:00,short,99169.2,99427.328,98394.816,98394.816,win,0.19987796937648314,154.7823014376367,2734.4873253982487
2025-02-22,2025-02-22 14:00:00+00:00,short,96577.8,96674.37779999999,96288.06660000005,96674.37779999999,loss,0.566276582278471,-54.689746507964976,2679.7975788902836
2025-02-23,2025-02-23 14:00:00+00:00,long,95927.8,95781.5226,96366.63220000002,95781.5226,loss,0.3663993998922825,-53.59595157780567,2626.2016273124777
2025-02-25,2025-02-25 14:00:00+00:00,long,88789.6,88567.74359999999,89455.16920000006,88567.74359999999,loss,0.2367478808195081,-52.52403254624956,2573.677594766228
2025-02-26,2025-02-26 14:00:00+00:00,long,86676.6,86470.04340000001,87296.2698,86470.04340000001,loss,0.24919829187411827,-51.47355189532456,2522.204042870904
2025-02-27,2025-02-27 14:00:00+00:00,short,86240.6,86419.93359999999,85702.59920000006,85702.59920000006,win,0.2812862779614233,151.33224257225424,2673.536285443158
2025-02-28,2025-02-28 14:00:00+00:00,long,81864.7,81380.7378,83316.58659999998,81380.7378,loss,0.11048533482338861,-53.47072570886316,2620.0655597342948
2025-03-02,2025-03-02 14:00:00+00:00,short,85830.6,85957.3715,85450.28550000004,85450.28550000004,win,0.41335245851544594,157.2039335840577,2777.2694933183525
2025-03-03,2025-03-03 14:00:00+00:00,long,93472.1,93197.60909999999,94295.57270000006,93197.60909999999,loss,0.20235785545664076,-55.54538986636705,2721.7241034519852
2025-03-05,2025-03-05 14:00:00+00:00,short,89348.0,89644.555,88458.33500000002,89644.555,loss,0.18355610955485824,-54.4344820690397,2667.2896213829454
2025-03-06,2025-03-06 14:00:00+00:00,short,89738.7,89862.77299999999,89366.48100000003,89862.77299999999,loss,0.4299548848473355,-53.34579242765891,2613.9438289552863
2025-03-09,2025-03-09 14:00:00+00:00,long,83481.3,83068.44840000001,84719.85479999999,83068.44840000001,loss,0.12662873676426692,-52.27887657910573,2561.6649523761807
2025-03-10,2025-03-10 14:00:00+00:00,short,80723.9,81586.50499999999,78136.085,78981.3,session_close,0.05939369589502015,103.4994544666616,2665.1644068428423
2025-03-11,2025-03-11 14:00:00+00:00,short,80169.3,81381.29999999999,76533.30000000005,81381.29999999999,loss,0.04397961067397483,-53.30328813685686,2611.8611187059855
2025-03-12,2025-03-12 14:00:00+00:00,long,82718.5,82234.683,84169.95099999999,82234.683,loss,0.10796896837878826,-52.23722237411971,2559.6238963318656
2025-03-13,2025-03-13 14:00:00+00:00,long,81856.0,81385.33320000001,83268.00039999998,81385.33320000001,loss,0.10876585713425761,-51.19247792663731,2508.431418405228
2025-03-14,2025-03-14 14:00:00+00:00,short,83311.7,83645.16159999999,82311.31520000001,83645.16159999999,loss,0.15044799271671852,-50.168628368104564,2458.2627900371235
2025-03-15,2025-03-15 14:00:00+00:00,long,84197.6,84082.9329,84541.60130000002,84082.9329,loss,0.4287651453707287,-49.16525580074247,2409.097534236381
2025-03-16,2025-03-16 14:00:00+00:00,long,82850.1,82454.7627,84036.1119,84036.1119,win,0.12187554952373002,144.54585205418286,2553.6433862905637
2025-03-18,2025-03-18 14:00:00+00:00,long,81349.1,81101.3175,82092.44750000001,82092.44750000001,win,0.20611975311335964,153.21860317743383,2706.861989467998
2025-03-19,2025-03-19 14:00:00+00:00,short,84324.4,84428.84449999999,84011.0665,84011.0665,win,0.5183349988688836,162.4117193680799,2869.2737088360777
2025-03-20,2025-03-20 14:00:00+00:00,long,85814.9,85343.4711,87229.18669999999,85343.4711,loss,0.12172667856536093,-57.38547417672156,2811.8882346593564
2025-03-21,2025-03-21 14:00:00+00:00,long,83827.8,83647.269,84369.39300000001,83647.269,loss,0.3115130625387678,-56.237764693187124,2755.650469966169
2025-03-22,2025-03-22 14:00:00+00:00,short,84122.2,84224.2401,83816.0797,84097.9,session_close,0.5401112836945894,13.124704193780094,2768.775174159949
2025-03-23,2025-03-23 14:00:00+00:00,short,85009.5,85271.58639999999,84223.24080000004,85271.58639999999,loss,0.2112872071317017,-55.37550348319898,2713.3996706767502
2025-03-24,2025-03-24 14:00:00+00:00,short,88058.7,88171.08299999998,87721.55100000004,87721.55100000004,win,0.48288436341387264,162.80398024060503,2876.2036509173554
2025-03-26,2025-03-26 14:00:00+00:00,short,86989.9,87237.15,86248.15,87237.15,loss,0.23265550260201057,-57.52407301834711,2818.679577899008
2025-03-28,2025-03-28 14:00:00+00:00,long,84809.5,84723.0921,85068.72370000002,85068.72370000002,win,0.6524124710585085,169.12077467394047,2987.8003525729487
2025-03-29,2025-03-29 14:00:00+00:00,long,82794.2,82632.285,83279.94499999998,82632.285,loss,0.36905788253998295,-59.75600705145898,2928.0443455214895
2025-03-30,2025-03-30 14:00:00+00:00,short,82721.4,82861.97919999999,82299.66240000002,82861.97919999999,loss,0.41656864536455446,-58.560886910429794,2869.4834586110596
2025-04-01,2025-04-01 14:00:00+00:00,short,83276.4,83767.48379999999,81803.14860000001,83767.48379999999,loss,0.11686329130022617,-57.3896691722212,2812.0937894388385
2025-04-05,2025-04-05 14:00:00+00:00,long,82785.3,82592.12520000001,83364.82439999998,82592.12520000001,loss,0.29114499297412855,-56.24187578877677,2755.8519136500618
2025-04-06,2025-04-06 14:00:00+00:00,long,82267.4,82087.83,82806.10999999997,82087.83,loss,0.30693901137719865,-55.117038273001235,2700.7348753770607
2025-04-07,2025-04-07 14:00:00+00:00,long,78056.9,77818.6035,78771.78949999998,78771.78949999998,win,0.22667012527478142,162.04409252262363,2862.778967899684
2025-04-09,2025-04-09 14:00:00+00:00,short,78050.7,78367.0888,77101.5336,77101.5336,win,0.18096588551172976,171.76673807398103,3034.545705973665
2025-04-10,2025-04-10 14:00:00+00:00,long,80966.0,80526.393,82284.82100000001,80526.393,loss,0.13805720591226436,-60.6909141194733,2973.8547918541917
2025-04-11,2025-04-11 14:00:00+00:00,short,82614.8,82960.4776,81577.76720000002,81577.76720000002,win,0.17205944451443952,178.4312875112515,3152.286079365443
2025-04-12,2025-04-12 14:00:00+00:00,short,84355.5,84549.96549999999,83772.10350000003,84549.96549999999,loss,0.3242000333597051,-63.04572158730886,3089.2403577781342
2025-04-13,2025-04-13 14:00:00+00:00,long,83782.0,83367.2493,85026.25210000001,84183.7,session_close,0.14896854220031955,59.84066340186793,3149.081021180002
2025-04-15,2025-04-15 14:00:00+00:00,short,85530.9,85713.12749999999,84984.21750000001,85713.12749999999,loss,0.3456208334285564,-62.98162042360004,3086.0994007564022
2025-04-16,2025-04-16 14:00:00+00:00,short,83944.1,84034.15019999999,83673.94940000006,83673.94940000006,win,0.685417556153562,185.16596404538416,3271.2653648017863
2025-04-17,2025-04-17 14:00:00+00:00,short,84237.3,84521.2368,83385.48960000002,84521.2368,loss,0.2304220773638242,-65.42530729603573,3205.8400575057503
2025-04-18,2025-04-18 14:00:00+00:00,long,84556.0,84436.8786,84913.36420000001,84436.8786,loss,0.538247545362236,-64.11680115011501,3141.7232563556354
2025-04-19,2025-04-19 14:00:00+00:00,short,85374.6,85541.05559999999,84875.23320000005,85541.05559999999,loss,0.3774848375609939,-62.83446512711271,3078.8887912285227
2025-04-20,2025-04-20 14:00:00+00:00,long,84292.2,84128.9868,84781.83959999999,84570.0,session_close,0.3772842872057596,104.80957498576112,3183.698366214284
