date,entry_time,direction,entry,sl,tp,exit_price,result,position_size,pnl_usd,account_balance
2025-01-01,2025-01-01 14:00:00+00:00,short,2.1808,2.1832810999999994,2.173356700000002,2.173356700000002,win,16121.881423566369,120.0,2120.0
2025-01-05,2025-01-05 14:00:00+00:00,long,2.3717,2.3593383,2.4087851000000002,2.3593383,loss,3429.9489552407754,-42.4,2077.6
2025-01-07,2025-01-07 14:00:00+00:00,short,2.4296,2.4342317999999996,2.415704600000002,2.4342317999999996,loss,8971.026382832873,-41.552,2036.048
2025-01-08,2025-01-08 14:00:00+00:00,long,2.3262,2.3102874,2.3739378,2.3102874,loss,2559.0387491673177,-40.72096,1995.32704
2025-01-09,2025-01-09 14:00:00+00:00,long,2.241,2.2310667,2.2707999000000005,2.2707999000000005,win,4017.450474665964,119.7196224,2115.0466624
2025-01-10,2025-01-10 14:00:00+00:00,short,2.2794,2.2874852,2.2551444,2.2874852,loss,5231.896953445793,-42.300933248,2072.745729152
2025-01-11,2025-01-11 14:00:00+00:00,short,2.3918,2.3992969,2.3693093,2.3992969,loss,5529.607515511724,-41.45491458304,2031.29081456896
2025-01-12,2025-01-12 14:00:00+00:00,long,2.5021,2.4963012,2.5194964,2.4963012,loss,7005.900581392573,-40.6258162913792,1990.664998277581
2025-01-13,2025-01-13 14:00:00+00:00,long,2.374,2.3595381,2.4173857000000005,2.3595381,loss,2752.9785135805973,-39.81329996555162,1950.8516983120294
2025-01-15,2025-01-15 14:00:00+00:00,short,2.8576,2.8753724999999997,2.8042825000000016,2.8753724999999997,loss,2195.3599080738013,-39.01703396624059,1911.8346643457887
2025-01-18,2025-01-18 14:00:00+00:00,long,3.219,3.2136831,3.2349506999999997,3.2349506999999997,win,7191.538920595851,114.71007986074733,2026.544744206536
2025-01-19,2025-01-19 14:00:00+00:00,long,3.122,3.1162806,3.1391581999999993,3.1162806,loss,7086.564129826906,-40.530894884130724,1986.0138493224053
2025-01-20,2025-01-20 14:00:00+00:00,short,3.2884,3.3105071999999995,3.2220784000000022,3.3105071999999995,loss,1796.7122469805906,-39.720276986448106,1946.2935723359572
2025-01-21,2025-01-21 14:00:00+00:00,long,3.1255,3.1182786,3.1471642000000006,3.1182786,loss,5390.34971705186,-38.92587144671914,1907.367700889238
2025-01-22,2025-01-22 14:00:00+00:00,long,3.169,3.1620348,3.1898956000000007,3.1620348,loss,5476.849769968346,-38.147354017784764,1869.2203468714533
2025-01-23,2025-01-23 14:00:00+00:00,long,3.0807,3.0721248,3.1064256000000006,3.1064256000000006,win,4359.595920494981,112.15322081228722,1981.3735676837405
2025-01-24,2025-01-24 14:00:00+00:00,short,3.1834,3.1879847999999997,3.1696456,3.1879847999999997,loss,8643.227916959364,-39.627471353674814,1941.7460963300657
2025-01-25,2025-01-25 14:00:00+00:00,long,3.1162,3.1092876,3.1369372,3.1092876,loss,5618.153163387693,-38.83492192660132,1902.9111744034644
2025-01-27,2025-01-27 14:00:00+00:00,long,2.8768,2.8587384,2.930984799999999,2.8587384,loss,2107.1346662571273,-38.05822348806929,1864.8529509153952
2025-01-29,2025-01-29 14:00:00+00:00,short,3.0558,3.0656626,3.0262122000000002,3.0656626,loss,3781.665992568706,-37.297059018307905,1827.5558918970873
2025-01-31,2025-01-31 14:00:00+00:00,long,3.0919,3.0887082,3.101475399999999,3.0887082,loss,11451.56896984293,-36.551117837941746,1791.0047740591456
2025-02-01,2025-02-01 14:00:00+00:00,long,2.9803,2.9663307,3.022207900000001,2.9663307,loss,2564.2011755193284,-35.82009548118291,1755.1846785779626
2025-02-04,2025-02-04 14:00:00+00:00,long,2.6159,2.6010963,2.6603110999999995,2.6010963,loss,2371.27836767562,-35.103693571559255,1720.0809850064034
2025-02-06,2025-02-06 14:00:00+00:00,short,2.415,2.4304279999999996,2.3687160000000014,2.3687160000000014,win,2229.817196015625,103.2048591003842,1823.2858441067876
2025-02-08,2025-02-08 14:00:00+00:00,long,2.4195,2.4099876,2.448037200000001,2.4099876,loss,3833.492796994974,-36.46571688213575,1786.820127224652
2025-02-10,2025-02-10 14:00:00+00:00,short,2.4502,2.4699674999999996,2.3908975000000017,2.4239,session_close,1807.836223320802,47.54609267333707,1834.3662198979891
2025-02-11,2025-02-11 14:00:00+00:00,short,2.4498,2.4550525999999997,2.4340422000000017,2.4550525999999997,loss,6984.602748726974,-36.687324397959785,1797.6788955000293
2025-02-13,2025-02-13 14:00:00+00:00,long,2.4456,2.4376599000000003,2.4694203,2.4376599000000003,loss,4528.101397967414,-35.95357791000059,1761.7253175900287
2025-02-14,2025-02-14 14:00:00+00:00,short,2.7289,2.7350323,2.7105031,2.7350323,loss,5745.724500073495,-35.234506351800576,1726.4908112382282
2025-02-17,2025-02-17 14:00:00+00:00,long,2.6879,2.6727245999999996,2.733426200000001,2.6727245999999996,loss,2275.380960288603,-34.529816224764566,1691.9609950134636
2025-02-18,2025-02-18 14:00:00+00:00,long,2.615,2.6011962,2.656411400000001,2.6011962,loss,2451.442349227651,-33.83921990026927,1658.1217751131944
2025-02-20,2025-02-20 14:00:00+00:00,long,2.7154,2.6995977,2.7628068999999993,2.6995977,loss,2098.5828330220447,-33.16243550226389,1624.9593396109306
