 I want to modify the strategy such that TP is either Londen low2025-05-12 16:13:03,604 [INFO] Running on Phoenix
2025-05-12 16:15:50,194 [INFO] Running on Phoenix
2025-05-12 17:18:15,235 [INFO] Running on Phoenix
2025-05-12 17:40:22,823 [INFO] Running on Phoenix
2025-05-12 17:40:26,988 [INFO] Bot starting – one trade/day; 2% risk; logging price
2025-05-12 17:40:27,448 [INFO] SOL/USDT: available balance = 117.92 USDT
2025-05-12 17:40:27,546 [INFO] LINK/USDT: available balance = 117.92 USDT
2025-05-12 17:40:27,609 [INFO] XRP/USDT: available balance = 117.92 USDT
2025-05-12 17:40:27,610 [INFO] LTC/USDT: available balance = 117.92 USDT
2025-05-13 00:06:13,605 [INFO] Running on Phoenix
2025-05-13 00:08:20,940 [INFO] Running on Phoenix
2025-05-13 00:09:00,220 [INFO] Running on Phoenix
2025-05-13 00:09:23,252 [INFO] Running on Phoenix
2025-05-13 00:10:13,665 [INFO] Running on Phoenix
2025-05-13 00:10:20,528 [INFO] Bot starting – one trade/day; 2% risk; logging price
2025-05-13 00:10:20,989 [INFO] SOL/USDT: available balance = 117.92 USDT
2025-05-13 00:10:21,091 [INFO] LTC/USDT: available balance = 117.92 USDT
2025-05-13 00:10:21,143 [INFO] LINK/USDT: available balance = 117.92 USDT
2025-05-13 00:10:21,146 [INFO] XRP/USDT: available balance = 117.92 USDT
2025-05-13 00:22:29,294 [INFO] Running on Phoenix
2025-05-13 00:22:34,100 [INFO] Bot starting – one trade/day; 2% risk; logging price
2025-05-13 00:22:34,558 [INFO] SOL/USDT: available balance = 117.92 USDT
2025-05-13 00:22:34,646 [INFO] XRP/USDT: available balance = 117.92 USDT
2025-05-13 00:22:34,699 [INFO] LINK/USDT: available balance = 117.92 USDT
2025-05-13 00:22:34,701 [INFO] LTC/USDT: available balance = 117.92 USDT
2025-05-13 20:51:25,776 [INFO] Running on Phoenix
2025-05-13 20:52:48,800 [INFO] Running on Phoenix
2025-05-13 20:52:54,627 [INFO] Bot starting – one trade/day; 2% risk; logging price
2025-05-13 20:52:54,926 [WARNING] SOL/USDT: leverage set failed binanceusdm {"code":-2015,"msg":"Invalid API-key, IP, or permissions for action, request ip: 37.228.254.60"}
2025-05-13 20:52:55,527 [WARNING] LINK/USDT: leverage set failed binanceusdm {"code":-2015,"msg":"Invalid API-key, IP, or permissions for action, request ip: 37.228.254.60"}
2025-05-13 20:52:55,581 [WARNING] LTC/USDT: leverage set failed binanceusdm {"code":-2015,"msg":"Invalid API-key, IP, or permissions for action, request ip: 37.228.254.60"}
2025-05-13 20:52:55,591 [WARNING] XRP/USDT: leverage set failed binanceusdm {"code":-2015,"msg":"Invalid API-key, IP, or permissions for action, request ip: 37.228.254.60"}
2025-05-13 20:54:50,576 [INFO] Running on Phoenix
2025-05-13 20:54:54,710 [INFO] Bot starting – one trade/day; 2% risk; logging price
2025-05-13 20:54:55,166 [INFO] SOL/USDT: available balance = 117.94 USDT
2025-05-13 20:54:55,258 [INFO] XRP/USDT: available balance = 117.94 USDT
2025-05-13 20:54:55,304 [INFO] LINK/USDT: available balance = 117.94 USDT
2025-05-13 20:54:55,313 [INFO] LTC/USDT: available balance = 117.94 USDT
2025-05-13 20:54:55,388 [INFO] SOL/USDT: balance = 117.94 USDT
2025-05-13 20:54:55,481 [INFO] XRP/USDT: balance = 117.94 USDT
