ts,symbol,side,entry,tp,sl,exit,result,pnl,balance
2024-01-18 14:45:00+00:00,BTC/USDT,SELL,42742.6,42351.0,42932.3,42351.0,TP,1238.5872430152542,2238.587243015254
2024-01-18 15:00:00+00:00,BTC/USDT,SELL,42730.5,42351.0,42932.3,42351.0,TP,2525.8984897649457,4764.4857327802
2024-01-19 18:45:00+00:00,BTC/USDT,SELL,41810.6,40300.0,42000.0,42000.0,SL,-2858.69143966812,1905.7942931120801
2024-01-19 19:30:00+00:00,BTC/USDT,SELL,41884.4,40300.0,42000.0,42000.0,SL,-1143.4765758672481,762.317717244832
2024-01-19 19:45:00+00:00,BTC/USDT,SELL,41818.5,40300.0,42000.0,42000.0,SL,-457.39063034689923,304.9270868979328
2024-01-19 20:00:00+00:00,BTC/USDT,SELL,42158.0,40300.0,42197.0,40300.0,TP,8716.223499328602,9021.150586226535
2024-01-19 20:15:00+00:00,BTC/USDT,SELL,41900.0,40300.0,42197.0,40300.0,TP,29159.274622146375,38180.42520837291
2024-01-19 20:30:00+00:00,BTC/USDT,SELL,41926.0,40300.0,42197.0,40300.0,TP,137449.53075014247,175629.95595851538
2024-01-20 07:30:00+00:00,BTC/USDT,SELL,41735.1,40300.0,42197.0,40300.0,TP,327404.0482304365,503034.0041889519
2024-01-20 19:15:00+00:00,BTC/USDT,SELL,41669.5,41453.6,41781.4,41781.4,SL,-301820.40251337114,201213.60167558078
2024-01-20 20:00:00+00:00,BTC/USDT,SELL,41691.6,41453.6,41883.5,41883.5,SL,-120728.16100534846,80485.44067023232
2024-01-20 20:15:00+00:00,BTC/USDT,SELL,41719.2,41453.6,41883.5,41883.5,SL,-48291.26440213939,32194.176268092924
2024-01-20 20:30:00+00:00,BTC/USDT,SELL,41778.7,41453.6,41883.5,41883.5,SL,-19316.505760855754,12877.67050723717
2024-01-20 20:45:00+00:00,BTC/USDT,SELL,41748.8,41453.6,41883.5,41883.5,SL,-7726.602304342302,5151.068202894868
2024-01-20 21:00:00+00:00,BTC/USDT,SELL,41836.8,41453.6,41883.5,41453.6,TP,25360.46255266971,30511.530755564578
2024-01-20 21:15:00+00:00,BTC/USDT,SELL,41807.9,41453.6,41883.5,41453.6,TP,85795.51862457798,116307.04938014256
2024-01-20 21:30:00+00:00,BTC/USDT,SELL,41793.1,41453.6,41883.5,41453.6,TP,262076.83582671089,378383.88520685345
2024-01-20 21:45:00+00:00,BTC/USDT,SELL,41732.3,41453.6,41883.5,41453.6,TP,418474.55875854654,796858.4439654
2024-01-20 22:00:00+00:00,BTC/USDT,SELL,41776.4,41453.6,41883.5,41453.6,TP,1441041.48858284,2237899.93254824
2024-01-20 22:15:00+00:00,BTC/USDT,SELL,41716.3,41453.6,41883.5,41453.6,TP,2109675.7617719234,4347575.694320163
2024-01-20 22:30:00+00:00,BTC/USDT,SELL,41812.5,41453.6,41883.5,41453.6,TP,13186013.380491657,17533589.07481182
2024-01-20 22:45:00+00:00,BTC/USDT,SELL,41779.8,41453.6,41883.5,41453.6,TP,33092324.529626925,50625913.604438744
2024-01-20 23:00:00+00:00,BTC/USDT,SELL,41755.9,41453.6,41883.5,41453.6,TP,71963387.22236122,122589300.82679996
2024-01-20 23:15:00+00:00,BTC/USDT,SELL,41726.0,41453.6,41883.5,41453.6,TP,127212668.7436971,249801969.57049707
2024-01-20 23:30:00+00:00,BTC/USDT,SELL,41714.3,41453.6,41883.5,41453.6,TP,230933948.46464822,480735918.0351453
2024-01-20 23:45:00+00:00,BTC/USDT,SELL,41691.8,41453.6,41883.5,41453.6,TP,358407811.1924114,839143729.2275567
2024-01-21 00:00:00+00:00,BTC/USDT,SELL,41693.2,41453.6,41883.5,41453.6,TP,633921715.7842932,1473065445.0118499
2024-01-21 00:15:00+00:00,BTC/USDT,SELL,41692.1,41453.6,41883.5,41453.6,TP,1101335763.7470956,2574401208.7589455
2024-01-21 01:00:00+00:00,BTC/USDT,SELL,41675.0,41453.6,41883.5,41453.6,TP,1640208424.803552,4214609633.562497
2024-01-21 01:15:00+00:00,BTC/USDT,SELL,41673.6,41453.6,41883.5,41453.6,TP,2650445315.055959,6865054948.618456
2024-01-21 01:30:00+00:00,BTC/USDT,SELL,41682.4,41453.6,41883.5,41453.6,TP,4686398524.845155,11551453473.463612
2024-01-21 02:15:00+00:00,BTC/USDT,SELL,41711.9,41453.6,41883.5,41453.6,TP,10432658853.831152,21984112327.29476
2024-01-21 02:30:00+00:00,BTC/USDT,SELL,41693.3,41453.6,41883.5,41453.6,TP,16623317744.014921,38607430071.309685
2024-01-21 02:45:00+00:00,BTC/USDT,SELL,41703.9,41453.6,41883.5,41453.6,TP,32283206281.232758,70890636352.54245
2024-01-21 03:00:00+00:00,BTC/USDT,SELL,41701.7,41453.6,41883.5,41453.6,TP,58046095310.44685,128936731662.9893
2024-01-21 03:15:00+00:00,BTC/USDT,SELL,41718.4,41453.6,41883.5,41453.6,TP,124079151584.59204,253015883247.58136
2024-01-21 03:30:00+00:00,BTC/USDT,SELL,41685.6,41453.6,41883.5,41453.6,TP,177967715755.75073,430983599003.3321
2024-01-21 03:45:00+00:00,BTC/USDT,SELL,41677.4,41453.6,41883.5,41453.6,TP,280798047909.60016,711781646912.9323
2024-01-21 04:45:00+00:00,BTC/USDT,SELL,41674.8,41475.0,41883.5,41475.0,TP,408856654681.0003,1120638301593.9326
2024-01-21 05:00:00+00:00,BTC/USDT,SELL,41677.6,41475.0,41883.5,41475.0,TP,661606566011.445,1782244867605.3774
2024-01-21 08:00:00+00:00,BTC/USDT,SELL,41693.7,41480.0,41883.5,41480.0,TP,1204001248284.2725,2986246115889.65
2024-01-21 08:15:00+00:00,BTC/USDT,SELL,41692.5,41480.0,41883.5,41480.0,TP,1993436543329.4785,4979682659219.129
2024-01-21 09:15:00+00:00,BTC/USDT,SELL,41693.3,41480.0,41883.5,41480.0,TP,3350682369752.2744,8330365028971.403
2024-01-21 09:30:00+00:00,BTC/USDT,SELL,41707.5,41480.0,41883.5,41480.0,TP,6460766059401.116,14791131088372.52
2024-01-21 09:45:00+00:00,BTC/USDT,SELL,41746.3,41480.0,41883.5,41480.0,TP,17225414907436.13,32016545995808.65
2024-01-21 10:00:00+00:00,BTC/USDT,SELL,41712.9,41522.0,41883.5,41522.0,TP,21495751338569.645,53512297334378.3
